pseudo,password,nom,prenom,telephone,actif,site(name)
BR,aaaaaa,Roger,Bernard,0203040506,1,Rennes
belette_masquee,aaaaaa,Didier,Bon,0203040507,1,Nantes
courgette,aaaaaa,LeBon,alexis,0203040508,1,Niort
banane,aaaaaa,LeMauvais,alexa,0203040509,1,Quimper
pomme,aaaaaa,LeGrand,alexandre,0203040510,1,Quimper
brouette,aaaaaa,LeFaible,alyx,0203040511,1,Quimper
charette,aaaaaa,LeScornec,album,0203040512,1,Quimper
pouet,aaaaaa,LeSida,alicopètre,0203040513,1,Quimper
pouat,aaaaaa,LaGrande,alibaba,0203040514,1,Quimper
crayon,aaaaaa,LaRelou,albatros,0203040515,1,Quimper
table,aaaaaa,olololo,albator,0203040516,1,Quimper
chaise,aaaaaa,olololo,alalalala,0203040517,1,Quimper
