pseudo,password,nom,prenom,telephone,actif,site(name),mail
BR,aaaaaa,Roger,Bernard,0203040506,1,Rennes,mail@gmail.com
belette_masquee,aaaaaa,Didier,Bon,0203040507,1,Nantes,mail@gmail.com
courgette,aaaaaa,LeBon,alexis,0203040508,1,Niort,mail@gmail.com
banane,aaaaaa,LeMauvais,alexa,0203040509,1,Quimper,mail@gmail.com
pomme,aaaaaa,LeGrand,alexandre,0203040510,1,Quimper,mail@gmail.com
brouette,aaaaaa,LeFaible,alyx,0203040511,1,Quimper,mail@gmail.com
charette,aaaaaa,LeScornec,album,0203040512,1,Quimper,mail@gmail.com
pouet,aaaaaa,LeSida,alicopètre,0203040513,1,Quimper,mail@gmail.com
pouat,aaaaaa,LaGrande,alibaba,0203040514,1,Quimper,mail@gmail.com
crayon,aaaaaa,LaRelou,albatros,0203040515,1,Quimper,mail@gmail.com
table,aaaaaa,olololo,albator,0203040516,1,Quimper,mail@gmail.com
chaise,aaaaaa,olololo,alalalala,0203040517,1,Quimper,mail@gmail.com
